prior,interpretation,bf_3,bf_10,bf_30,bf_100,bf_192
0.5,flat / no opinion,0.75,0.9090909090909091,0.967741935483871,0.9900990099009901,0.9948186528497409
0.1,mild skepticism,0.25,0.5263157894736842,0.7692307692307693,0.9174311926605504,0.955223880597015
0.05,moderate skepticism,0.13636363636363638,0.3448275862068966,0.6122448979591836,0.8403361344537815,0.9099526066350712
0.01,strong skepticism,0.029411764705882353,0.09174311926605505,0.23255813953488372,0.5025125628140703,0.6597938144329897
0.001,very strong skepticism,0.0029940119760479044,0.009910802775024779,0.02915451895043732,0.09099181073703368,0.16120906801007556
0.0001,extraordinary-claim standard,0.0002999400119976005,0.0009991008092716557,0.002991325157044571,0.009901970492127933,0.018840153076243746
1e-06,telepathy-level prior,2.999994000012e-06,9.999910000809992e-06,2.9999130025229263e-05,9.999010098000296e-05,0.00019196333500301442
1e-09,physics-violation prior,2.9999999940000007e-09,9.99999991e-09,2.999999913000003e-08,9.999999010000099e-08,1.9199996332800702e-07
